code,initial,noise,p,fidelity
baseline,0,identity,0.0,1.0
baseline,0,depolarizing,0.05,1.0
baseline,0,dephasing,0.05,1.0
baseline,0,amp_damping,0.05,1.0
baseline,1,identity,0.0,1.0
baseline,1,depolarizing,0.05,0.975
baseline,1,dephasing,0.05,0.9999999999999992
baseline,1,amp_damping,0.05,0.9499999999999993
baseline,+,identity,0.0,0.9999999999999998
baseline,+,depolarizing,0.05,0.9749999999999999
baseline,+,dephasing,0.05,0.9873397172404478
baseline,+,amp_damping,0.05,0.9873397172404473
baseline,-,identity,0.0,0.9999999999999998
baseline,-,depolarizing,0.05,0.9512499999999998
baseline,-,dephasing,0.05,0.987339717240447
baseline,-,amp_damping,0.05,0.9386057455164019
baseline,rand,identity,0.0,1.0
baseline,rand,depolarizing,0.05,1.0
baseline,rand,dephasing,0.05,1.0
baseline,rand,amp_damping,0.05,1.0
bit_flip,0,identity,0.0,1.0
bit_flip,0,depolarizing,0.05,0.8394418095257578
bit_flip,0,dephasing,0.05,1.0000000000000004
bit_flip,0,amp_damping,0.05,0.9999999999999971
bit_flip,1,identity,0.0,1.0
bit_flip,1,depolarizing,0.05,0.8224697190494702
bit_flip,1,dephasing,0.05,0.9999999999999994
bit_flip,1,amp_damping,0.05,0.6595234884775485
bit_flip,+,identity,0.0,0.9999999999999998
bit_flip,+,depolarizing,0.05,0.8149308606997193
bit_flip,+,dephasing,0.05,0.8582394741229342
bit_flip,+,amp_damping,0.05,0.8562760061116834
bit_flip,-,identity,0.0,0.9999999999999998
bit_flip,-,depolarizing,0.05,0.7991843176647333
bit_flip,-,dephasing,0.05,0.8582394741229342
bit_flip,-,amp_damping,0.05,0.820648405500515
bit_flip,rand,identity,0.0,1.0
bit_flip,rand,depolarizing,0.05,0.8393539949221976
bit_flip,rand,dephasing,0.05,0.9985342833391312
bit_flip,rand,amp_damping,0.05,0.6984153002565113
phase_flip,0,identity,0.0,1.0000000000000002
phase_flip,0,depolarizing,0.05,0.4524057890327801
phase_flip,0,dephasing,0.05,0.3922273509370911
phase_flip,0,amp_damping,0.05,0.4683400777600863
phase_flip,1,identity,0.0,1.0000000000000002
phase_flip,1,depolarizing,0.05,0.4547854995811413
phase_flip,1,dephasing,0.05,0.39222735093709077
phase_flip,1,amp_damping,0.05,0.4308135786959335
phase_flip,+,identity,0.0,0.9999999999999998
phase_flip,+,depolarizing,0.05,0.6753468484465256
phase_flip,+,dephasing,0.05,0.7908566629342896
phase_flip,+,amp_damping,0.05,0.8207624863589262
phase_flip,-,identity,0.0,0.9999999999999998
phase_flip,-,depolarizing,0.05,0.6665795060241995
phase_flip,-,dephasing,0.05,0.790856662934286
phase_flip,-,amp_damping,0.05,0.5441018853305459
phase_flip,rand,identity,0.0,1.0
phase_flip,rand,depolarizing,0.05,0.4547079828099553
phase_flip,rand,dephasing,0.05,0.3962831411657466
phase_flip,rand,amp_damping,0.05,0.4172437278763684
five_qubit,0,identity,0.0,0.9999999999999989
five_qubit,0,depolarizing,0.05,0.4984277657898261
five_qubit,0,dephasing,0.05,0.4958933572194238
five_qubit,0,amp_damping,0.05,0.5222609345907295
five_qubit,1,identity,0.0,0.9999999999999989
five_qubit,1,depolarizing,0.05,0.4985063775003351
five_qubit,1,dephasing,0.05,0.4958933572194232
five_qubit,1,amp_damping,0.05,0.473691610063765
five_qubit,+,identity,0.0,0.9999999999999998
five_qubit,+,depolarizing,0.05,0.5000000000000007
five_qubit,+,dephasing,0.05,0.49999999999999817
five_qubit,+,amp_damping,0.05,0.5903984716748623
five_qubit,-,identity,0.0,0.9999999999999976
five_qubit,-,depolarizing,0.05,0.5000000000000007
five_qubit,-,dephasing,0.05,0.499999999999996
five_qubit,-,amp_damping,0.05,0.4096015283251238
five_qubit,rand,identity,0.0,0.9999999999999988
five_qubit,rand,depolarizing,0.05,0.4984047420967451
five_qubit,rand,dephasing,0.05,0.4958511028533103
five_qubit,rand,amp_damping,0.05,0.4645693679040107
steane,0,identity,0.0,0.9999999999999999
steane,0,depolarizing,0.05,0.6453319660300321
steane,0,dephasing,0.05,0.754849981610137
steane,0,amp_damping,0.05,0.7442808090652743
steane,1,identity,0.0,0.9999999999999999
steane,1,depolarizing,0.05,0.4549363599022559
steane,1,dephasing,0.05,0.3019276080054741
steane,1,amp_damping,0.05,0.4424803757658933
steane,+,identity,0.0,0.9999999999999999
steane,+,depolarizing,0.05,0.5000000000000004
steane,+,dephasing,0.05,0.49999999999999883
steane,+,amp_damping,0.05,0.6359145519999869
steane,-,identity,0.0,0.9999999999999999
steane,-,depolarizing,0.05,0.5000000000000006
steane,-,dephasing,0.05,0.4999999999999965
steane,-,amp_damping,0.05,0.3636401142073555
steane,rand,identity,0.0,1.0
steane,rand,depolarizing,0.05,0.4614079724003477
steane,rand,dephasing,0.05,0.30186437685924483
steane,rand,amp_damping,0.05,0.4623530487027565
