p,code,initial,noise,fidelity
0.2,baseline,0,bit_flip,0.8
0.2,baseline,0,phase_flip,1.0
0.2,baseline,0,depolarizing,0.9
0.2,baseline,0,amp_damping,1.0000000000000004
0.2,baseline,1,bit_flip,0.8
0.2,baseline,1,phase_flip,1.0
0.2,baseline,1,depolarizing,0.9
0.2,baseline,1,amp_damping,0.7999999999999999
0.2,baseline,+,bit_flip,0.9999999999999998
0.2,baseline,+,phase_flip,0.7999999999999999
0.2,baseline,+,depolarizing,0.8999999999999998
0.2,baseline,+,amp_damping,0.947213595499958
0.2,baseline,-,bit_flip,0.9999999999999998
0.2,baseline,-,phase_flip,0.7999999999999999
0.2,baseline,-,depolarizing,0.8999999999999998
0.2,baseline,-,amp_damping,0.947213595499958
0.2,baseline,rand,bit_flip,0.8019201901325879
0.2,baseline,rand,phase_flip,0.997786830060694
0.2,baseline,rand,depolarizing,0.9
0.2,baseline,rand,amp_damping,0.8010772902272041
0.2,bit_flip,0,bit_flip,0.6707692307692309
0.2,bit_flip,0,phase_flip,1.0
0.2,bit_flip,0,depolarizing,0.8189041095890408
0.2,bit_flip,0,amp_damping,1.0
0.2,bit_flip,1,bit_flip,0.6707692307692309
0.2,bit_flip,1,phase_flip,1.0
0.2,bit_flip,1,depolarizing,0.8189041095890408
0.2,bit_flip,1,amp_damping,0.6707692307692309
0.2,bit_flip,+,bit_flip,0.9999999999999998
0.2,bit_flip,+,phase_flip,0.608
0.2,bit_flip,+,depolarizing,0.7805479452054791
0.2,bit_flip,+,amp_damping,0.8766009225262802
0.2,bit_flip,-,bit_flip,0.9999999999999998
0.2,bit_flip,-,phase_flip,0.608
0.2,bit_flip,-,depolarizing,0.7805479452054791
0.2,bit_flip,-,amp_damping,0.8766009225262802
0.2,bit_flip,rand,bit_flip,0.6739301591413365
0.2,bit_flip,rand,phase_flip,0.9956621869189601
0.2,bit_flip,rand,depolarizing,0.818479666039037
0.2,bit_flip,rand,amp_damping,0.6712519882162626
0.2,phase_flip,0,bit_flip,1.0000000000000002
0.2,phase_flip,0,phase_flip,0.6707692307692309
0.2,phase_flip,0,depolarizing,0.8189041095890411
0.2,phase_flip,0,amp_damping,0.8104188486411474
0.2,phase_flip,1,bit_flip,1.0000000000000002
0.2,phase_flip,1,phase_flip,0.6707692307692308
0.2,phase_flip,1,depolarizing,0.8189041095890411
0.2,phase_flip,1,amp_damping,0.8104188486411472
0.2,phase_flip,+,bit_flip,0.608
0.2,phase_flip,+,phase_flip,0.5999999999999999
0.2,phase_flip,+,depolarizing,0.7805479452054792
0.2,phase_flip,+,amp_damping,0.8470588235294116
0.2,phase_flip,-,bit_flip,0.6079999999999999
0.2,phase_flip,-,phase_flip,0.5999999999999999
0.2,phase_flip,-,depolarizing,0.7805479452054791
0.2,phase_flip,-,amp_damping,0.8531764705882352
0.2,phase_flip,rand,bit_flip,0.9956621869189602
0.2,phase_flip,rand,phase_flip,0.6704413546442235
0.2,phase_flip,rand,depolarizing,0.8184796660390377
0.2,phase_flip,rand,amp_damping,0.8109594386148119
0.2,five_qubit,0,bit_flip,0.5224841824841826
0.2,five_qubit,0,phase_flip,0.5374736374736374
0.2,five_qubit,0,depolarizing,0.47660182635792364
0.2,five_qubit,0,amp_damping,0.47323311609025914
0.2,five_qubit,1,bit_flip,0.5224841824841824
0.2,five_qubit,1,phase_flip,0.5374736374736376
0.2,five_qubit,1,depolarizing,0.47660182635792375
0.2,five_qubit,1,amp_damping,0.4731941824409356
0.2,five_qubit,+,bit_flip,0.5406482406482406
0.2,five_qubit,+,phase_flip,0.5243889443889442
0.2,five_qubit,+,depolarizing,0.47461963510744004
0.2,five_qubit,+,amp_damping,0.4641152757226081
0.2,five_qubit,-,bit_flip,0.5406482406482408
0.2,five_qubit,-,phase_flip,0.5243889443889445
0.2,five_qubit,-,depolarizing,0.4746196351074399
0.2,five_qubit,-,amp_damping,0.46411527572260797
0.2,five_qubit,rand,bit_flip,0.5227051607436574
0.2,five_qubit,rand,phase_flip,0.5373726399759662
0.2,five_qubit,rand,depolarizing,0.4766998271358258
0.2,five_qubit,rand,amp_damping,0.4732508667080147
0.2,steane,0,bit_flip,0.522
0.2,steane,0,phase_flip,0.7250000000000001
0.2,steane,0,depolarizing,0.48229176348483443
0.2,steane,0,amp_damping,0.48246225319396047
0.2,steane,1,bit_flip,0.3969999999999999
0.2,steane,1,phase_flip,0.7113095238095237
0.2,steane,1,depolarizing,0.6316965253895965
0.2,steane,1,amp_damping,0.6363670150987226
0.2,steane,+,bit_flip,0.5000000000000001
0.2,steane,+,phase_flip,0.49999999999999994
0.2,steane,+,depolarizing,0.5759921925829538
0.2,steane,+,amp_damping,0.5891700278832234
0.2,steane,-,bit_flip,0.5000000000000001
0.2,steane,-,phase_flip,0.49999999999999994
0.2,steane,-,depolarizing,0.5759921925829536
0.2,steane,-,amp_damping,0.5891700278832234
0.2,steane,rand,bit_flip,0.397794936710065
0.2,steane,rand,phase_flip,0.7089334355529375
0.2,steane,rand,depolarizing,0.6315197314492735
0.2,steane,rand,amp_damping,0.6363020837668872
0.4,baseline,0,bit_flip,0.6
0.4,baseline,0,phase_flip,1.0
0.4,baseline,0,depolarizing,0.7999999999999999
0.4,baseline,0,amp_damping,0.9999999999999996
0.4,baseline,1,bit_flip,0.6
0.4,baseline,1,phase_flip,1.0
0.4,baseline,1,depolarizing,0.7999999999999999
0.4,baseline,1,amp_damping,0.5999999999999996
0.4,baseline,+,bit_flip,0.9999999999999998
0.4,baseline,+,phase_flip,0.5999999999999999
0.4,baseline,+,depolarizing,0.7999999999999998
0.4,baseline,+,amp_damping,0.8872983346207411
0.4,baseline,-,bit_flip,0.9999999999999998
0.4,baseline,-,phase_flip,0.5999999999999999
0.4,baseline,-,depolarizing,0.7999999999999998
0.4,baseline,-,amp_damping,0.8872983346207411
0.4,baseline,rand,bit_flip,0.6038403802651753
0.4,baseline,rand,phase_flip,0.9955736601213877
0.4,baseline,rand,depolarizing,0.8000000000000002
0.4,baseline,rand,amp_damping,0.6020756936012077
0.4,bit_flip,0,bit_flip,0.5114285714285715
0.4,bit_flip,0,phase_flip,1.0
0.4,bit_flip,0,depolarizing,0.6707692307692309
0.4,bit_flip,0,amp_damping,1.0
0.4,bit_flip,1,bit_flip,0.5114285714285715
0.4,bit_flip,1,phase_flip,1.0
0.4,bit_flip,1,depolarizing,0.6707692307692309
0.4,bit_flip,1,amp_damping,0.5114285714285716
0.4,bit_flip,+,bit_flip,0.9999999999999998
0.4,bit_flip,+,phase_flip,0.5039999999999999
0.4,bit_flip,+,depolarizing,0.6246153846153846
0.4,bit_flip,+,amp_damping,0.7904737509655558
0.4,bit_flip,-,bit_flip,0.9999999999999998
0.4,bit_flip,-,phase_flip,0.5039999999999999
0.4,bit_flip,-,depolarizing,0.6246153846153846
0.4,bit_flip,-,amp_damping,0.7904737509655558
